date,category,amount,type,signed_amount
2020-01-02,Food & Drink,1485.69,Expense,-1485.69
2020-01-02,Utilities,1475.58,Expense,-1475.58
2020-01-04,Rent,1185.08,Expense,-1185.08
2020-01-05,Investment,2291.0,Income,2291.0
2020-01-13,Food & Drink,1126.88,Expense,-1126.88
2020-01-14,Shopping,448.68,Expense,-448.68
2020-01-18,Food & Drink,1520.03,Expense,-1520.03
2020-01-19,Other,3287.0,Income,3287.0
2020-01-21,Entertainment,1914.85,Expense,-1914.85
2020-01-25,Rent,766.06,Expense,-766.06
2020-01-25,Health & Fitness,1211.41,Expense,-1211.41
2020-01-26,Salary,1077.09,Expense,-1077.09
2020-01-29,Shopping,166.81,Expense,-166.81
2020-01-30,Health & Fitness,1158.93,Expense,-1158.93
2020-01-31,Food & Drink,1325.91,Expense,-1325.91
2020-01-31,Rent,1712.08,Expense,-1712.08
2020-01-31,Shopping,563.17,Expense,-563.17
2020-02-02,Health & Fitness,333.68,Expense,-333.68
2020-02-04,Travel,1406.62,Expense,-1406.62
2020-02-05,Rent,1222.17,Expense,-1222.17
2020-02-05,Investment,1838.0,Income,1838.0
2020-02-07,Travel,1979.15,Expense,-1979.15
2020-02-07,Entertainment,1372.38,Expense,-1372.38
2020-02-08,Food & Drink,465.81,Expense,-465.81
2020-02-08,Other,3786.0,Income,3466.7799999999997
2020-02-09,Entertainment,1827.14,Expense,-1827.14
2020-02-11,Health & Fitness,433.13,Expense,-433.13
2020-02-13,Salary,294.31,Expense,-294.31
2020-02-15,Other,4009.0,Income,3466.7799999999997
2020-02-16,Shopping,730.37,Expense,-730.37
2020-02-16,Utilities,1023.96,Expense,-1023.96
2020-02-18,Investment,1398.0,Income,1398.0
2020-02-19,Investment,3958.0,Income,3466.7799999999997
2020-02-20,Shopping,769.42,Expense,-769.42
2020-02-26,Travel,1942.45,Expense,-1942.45
2020-02-27,Food & Drink,1363.76,Expense,-1363.76
2020-02-28,Other,3286.0,Income,3286.0
2020-02-28,Other,1795.0,Income,1795.0
2020-02-29,Travel,1944.06,Expense,-1944.06
2020-03-03,Rent,1742.33,Expense,-1742.33
2020-03-04,Entertainment,314.15,Expense,-314.15
2020-03-04,Food & Drink,1201.9,Expense,-1201.9
2020-03-09,Rent,1858.91,Expense,-1858.91
2020-03-09,Travel,486.51,Expense,-486.51
2020-03-11,Rent,180.45,Expense,-180.45
2020-03-11,Rent,1956.19,Expense,-1956.19
2020-03-12,Utilities,265.5,Expense,-265.5
2020-03-12,Utilities,537.46,Expense,-537.46
2020-03-14,Shopping,1929.08,Expense,-1929.08
2020-03-15,Entertainment,1428.77,Expense,-1428.77
2020-03-18,Health & Fitness,881.82,Expense,-881.82
2020-03-21,Rent,503.33,Expense,-503.33
2020-03-23,Investment,2385.0,Income,2385.0
2020-03-23,Food & Drink,151.28,Expense,-151.28
2020-03-24,Entertainment,144.13,Expense,-144.13
2020-03-28,Other,1080.0,Income,1080.0
2020-04-01,Travel,1341.27,Expense,-1341.27
2020-04-05,Utilities,1449.47,Expense,-1449.47
2020-04-06,Salary,493.56,Expense,-493.56
2020-04-06,Shopping,388.92,Expense,-388.92
2020-04-10,Other,3402.0,Income,3402.0
2020-04-17,Salary,1729.04,Expense,-1729.04
2020-04-17,Investment,996.0,Income,996.0
2020-04-18,Health & Fitness,1603.18,Expense,-1603.18
2020-04-22,Investment,2058.0,Income,2058.0
2020-04-23,Utilities,849.54,Expense,-849.54
2020-04-25,Entertainment,1750.23,Expense,-1750.23
2020-04-26,Investment,914.0,Income,914.0
2020-04-26,Food & Drink,1938.3,Expense,-1938.3
2020-04-27,Entertainment,340.96,Expense,-340.96
2020-04-27,Entertainment,1730.65,Expense,-1730.65
2020-04-29,Utilities,764.16,Expense,-764.16
2020-04-30,Travel,1853.77,Expense,-1853.77
2020-05-01,Travel,851.78,Expense,-851.78
2020-05-03,Salary,318.05,Expense,-318.05
2020-05-03,Food & Drink,1162.57,Expense,-1162.57
2020-05-05,Health & Fitness,123.76,Expense,-123.76
2020-05-06,Utilities,123.19,Expense,-123.19
2020-05-06,Utilities,146.36,Expense,-146.36
2020-05-07,Investment,3807.0,Income,3466.7799999999997
2020-05-11,Investment,825.0,Income,825.0
2020-05-12,Shopping,1318.17,Expense,-1318.17
2020-05-13,Health & Fitness,1870.07,Expense,-1870.07
2020-05-14,Health & Fitness,484.99,Expense,-484.99
2020-05-15,Travel,919.88,Expense,-919.88
2020-05-16,Rent,28.54,Expense,-28.54
2020-05-17,Rent,155.79,Expense,-155.79
2020-05-19,Travel,273.59,Expense,-273.59
2020-05-20,Rent,1759.75,Expense,-1759.75
2020-05-21,Utilities,881.99,Expense,-881.99
2020-05-25,Travel,1227.24,Expense,-1227.24
2020-05-27,Food & Drink,1339.05,Expense,-1339.05
2020-05-28,Rent,1878.47,Expense,-1878.47
2020-05-29,Investment,1376.0,Income,1376.0
2020-05-30,Utilities,551.97,Expense,-551.97
2020-05-31,Health & Fitness,415.16,Expense,-415.16
2020-05-31,Travel,1015.76,Expense,-1015.76
2020-06-01,Food & Drink,193.67,Expense,-193.67
2020-06-02,Travel,97.73,Expense,-97.73
2020-06-05,Utilities,1277.86,Expense,-1277.86
2020-06-06,Salary,1107.84,Expense,-1107.84
2020-06-07,Food & Drink,232.63,Expense,-232.63
2020-06-08,Utilities,1095.72,Expense,-1095.72
2020-06-09,Utilities,865.28,Expense,-865.28
2020-06-09,Other,826.0,Income,826.0
2020-06-10,Entertainment,1367.31,Expense,-1367.31
2020-06-10,Health & Fitness,1562.43,Expense,-1562.43
2020-06-11,Shopping,1947.94,Expense,-1947.94
2020-06-11,Entertainment,1730.57,Expense,-1730.57
2020-06-12,Utilities,1764.02,Expense,-1764.02
2020-06-14,Other,3872.0,Income,3466.7799999999997
2020-06-15,Entertainment,540.94,Expense,-540.94
2020-06-18,Rent,771.26,Expense,-771.26
2020-06-18,Other,2322.0,Income,2322.0
2020-06-18,Other,3364.0,Income,3364.0
2020-06-19,Entertainment,453.62,Expense,-453.62
2020-06-19,Shopping,663.24,Expense,-663.24
2020-06-21,Travel,708.78,Expense,-708.78
2020-06-21,Health & Fitness,1879.08,Expense,-1879.08
2020-06-22,Other,1962.0,Income,1962.0
2020-06-22,Travel,86.13,Expense,-86.13
2020-06-24,Health & Fitness,1459.8,Expense,-1459.8
2020-06-30,Rent,776.54,Expense,-776.54
2020-06-30,Travel,98.33,Expense,-98.33
2020-07-02,Entertainment,734.8,Expense,-734.8
2020-07-03,Other,3071.0,Income,3071.0
2020-07-04,Rent,1442.31,Expense,-1442.31
2020-07-05,Travel,1337.12,Expense,-1337.12
2020-07-06,Travel,1113.28,Expense,-1113.28
2020-07-06,Other,1925.0,Income,1925.0
2020-07-08,Travel,818.09,Expense,-818.09
2020-07-11,Travel,580.96,Expense,-580.96
2020-07-12,Health & Fitness,935.33,Expense,-935.33
2020-07-12,Entertainment,1027.24,Expense,-1027.24
2020-07-13,Utilities,1321.11,Expense,-1321.11
2020-07-17,Health & Fitness,195.84,Expense,-195.84
2020-07-20,Entertainment,1348.86,Expense,-1348.86
2020-07-21,Entertainment,303.23,Expense,-303.23
2020-07-21,Other,1096.0,Income,1096.0
2020-07-22,Entertainment,1439.51,Expense,-1439.51
2020-07-22,Shopping,495.53,Expense,-495.53
2020-07-22,Food & Drink,1786.39,Expense,-1786.39
2020-07-23,Rent,1559.06,Expense,-1559.06
2020-07-24,Salary,109.93,Expense,-109.93
2020-07-28,Rent,918.36,Expense,-918.36
2020-07-28,Health & Fitness,1900.58,Expense,-1900.58
2020-07-29,Shopping,1662.83,Expense,-1662.83
2020-07-30,Utilities,1489.87,Expense,-1489.87
2020-07-31,Travel,1506.04,Expense,-1506.04
2020-08-01,Travel,1533.97,Expense,-1533.97
2020-08-01,Entertainment,556.45,Expense,-556.45
2020-08-01,Other,2420.0,Income,2420.0
2020-08-02,Health & Fitness,1787.12,Expense,-1787.12
2020-08-03,Investment,2394.0,Income,2394.0
2020-08-04,Utilities,1415.77,Expense,-1415.77
2020-08-04,Other,3210.0,Income,3210.0
2020-08-04,Shopping,133.91,Expense,-133.91
2020-08-05,Shopping,1810.63,Expense,-1810.63
2020-08-05,Food & Drink,1714.9,Expense,-1714.9
2020-08-06,Shopping,959.19,Expense,-959.19
2020-08-08,Travel,1509.42,Expense,-1509.42
2020-08-08,Shopping,1081.06,Expense,-1081.06
2020-08-09,Entertainment,981.58,Expense,-981.58
2020-08-13,Salary,67.76,Expense,-67.76
2020-08-14,Shopping,1451.12,Expense,-1451.12
2020-08-16,Utilities,1961.64,Expense,-1961.64
2020-08-17,Shopping,1187.87,Expense,-1187.87
2020-08-18,Rent,1289.07,Expense,-1289.07
2020-08-19,Other,1988.0,Income,1988.0
2020-08-20,Other,3181.0,Income,3181.0
2020-08-21,Health & Fitness,681.63,Expense,-681.63
2020-08-21,Travel,1506.5,Expense,-1506.5
2020-08-22,Travel,1671.47,Expense,-1671.47
2020-08-22,Food & Drink,1999.82,Expense,-1999.82
2020-08-26,Rent,1564.65,Expense,-1564.65
2020-08-27,Food & Drink,1899.73,Expense,-1899.73
2020-08-27,Investment,1748.0,Income,1748.0
2020-08-29,Salary,1342.22,Expense,-1342.22
2020-08-30,Entertainment,935.42,Expense,-935.42
2020-08-31,Health & Fitness,343.9,Expense,-343.9
2020-09-01,Rent,1557.81,Expense,-1557.81
2020-09-05,Other,1385.0,Income,1385.0
2020-09-05,Travel,1155.84,Expense,-1155.84
2020-09-06,Shopping,799.34,Expense,-799.34
2020-09-07,Rent,1188.27,Expense,-1188.27
2020-09-08,Entertainment,212.78,Expense,-212.78
2020-09-11,Rent,1594.49,Expense,-1594.49
2020-09-11,Food & Drink,700.94,Expense,-700.94
2020-09-11,Health & Fitness,147.22,Expense,-147.22
2020-09-16,Food & Drink,1700.66,Expense,-1700.66
2020-09-17,Rent,872.71,Expense,-872.71
2020-09-17,Salary,1417.54,Expense,-1417.54
2020-09-18,Travel,1235.67,Expense,-1235.67
2020-09-18,Salary,935.1,Expense,-935.1
2020-09-22,Travel,651.39,Expense,-651.39
2020-09-22,Rent,565.07,Expense,-565.07
2020-09-22,Salary,1144.0,Expense,-1144.0
2020-09-23,Health & Fitness,67.11,Expense,-67.11
2020-09-23,Utilities,980.22,Expense,-980.22
2020-09-25,Travel,687.27,Expense,-687.27
2020-09-27,Travel,1116.02,Expense,-1116.02
2020-09-27,Entertainment,180.37,Expense,-180.37
2020-09-27,Salary,1114.8,Expense,-1114.8
2020-09-29,Salary,1295.35,Expense,-1295.35
2020-09-30,Food & Drink,195.18,Expense,-195.18
2020-10-01,Entertainment,619.35,Expense,-619.35
2020-10-03,Salary,1111.41,Expense,-1111.41
2020-10-04,Health & Fitness,710.1,Expense,-710.1
2020-10-07,Travel,510.29,Expense,-510.29
2020-10-07,Investment,3084.0,Income,3084.0
2020-10-07,Investment,2069.0,Income,2069.0
2020-10-08,Salary,560.23,Expense,-560.23
2020-10-08,Travel,1961.22,Expense,-1961.22
2020-10-10,Travel,462.69,Expense,-462.69
2020-10-10,Investment,4875.0,Income,3466.7799999999997
2020-10-10,Investment,946.0,Income,946.0
2020-10-12,Utilities,1279.36,Expense,-1279.36
2020-10-14,Rent,1746.71,Expense,-1746.71
2020-10-15,Salary,962.64,Expense,-962.64
2020-10-16,Food & Drink,512.43,Expense,-512.43
2020-10-16,Rent,1646.01,Expense,-1646.01
2020-10-16,Rent,1158.27,Expense,-1158.27
2020-10-18,Utilities,306.9,Expense,-306.9
2020-10-19,Travel,179.51,Expense,-179.51
2020-10-23,Shopping,1216.57,Expense,-1216.57
2020-10-24,Entertainment,1553.63,Expense,-1553.63
2020-10-26,Salary,601.73,Expense,-601.73
2020-10-27,Shopping,617.71,Expense,-617.71
2020-10-27,Rent,1895.7,Expense,-1895.7
2020-10-27,Entertainment,536.65,Expense,-536.65
2020-10-28,Investment,1923.0,Income,1923.0
2020-10-29,Utilities,15.32,Expense,-15.32
2020-10-30,Salary,589.61,Expense,-589.61
2020-10-31,Travel,1408.95,Expense,-1408.95
2020-11-01,Entertainment,1848.58,Expense,-1848.58
2020-11-01,Entertainment,856.03,Expense,-856.03
2020-11-02,Utilities,1817.74,Expense,-1817.74
